"","Idrec_sub","Id_cowlog","Lek","BirdID","Date","Species"
"1","9.SUR.2013.2.13.07.36.(1).MOV-","9.SUR.2013.2.13.07.36.(1).MOV_2000-01-01T000000_000","SUR","9",2013-02-13,"LBH"
"2","36.SUR.2013.3.23.07.10.(3).MOV-","36.SUR.2013.3.23.07.10.(3).MOV_2000-01-01T000000_000","SUR","36",2013-03-23,"LBH"
"3","36.SUR.2013.3.23.07.10.(3).MOV-2","36.SUR.2013.3.23.07.10.(3).MOV-2_2017-02-16T203539_158","SUR","36",2013-03-23,"LBH"
"4","36.SUR.2013.3.23.07.10.(3).MOV-3","36.SUR.2013.3.23.07.10.(3).MOV-3_2000-01-01T000000_000","SUR","36",2013-03-23,"LBH"
"5","54.SUR.2013.3.24.07.34.(1).MOV-","54.SUR.2013.3.24.07.34.(1).MOV_2000-01-01T000000_000","SUR","54",2013-03-24,"LBH"
"6","108.LOC.2013.4.10.07.16.(1).MOV-","108.LOC.2013.4.10.07.16.(1).MOV_2000-01-01T000000_000","LOC","108",2013-04-10,"LBH"
"7","146.CCL.2013.2.25.14.20.(1).MOV-",NA,NA,NA,NA,"LBH"
"8","117.LOC.2013.4.10.07.16.(2).MOV-","117.LOC.2013.4.10.07.16.(2).MOV_2000-01-01T000000_000","LOC","117",2013-04-10,"LBH"
"9","124.SJA.2013.6.21.07.39.(3).MOV-","124.SJA.2013.6.21.07.39.(3).MOV_2000-01-01T000000_000","SJA","124",2013-06-21,"LBH"
"10","143.SUR.2013.2.16.09.38.(2).MOV-","143.SUR.2013.2.16.09.38.(2).MOV-_2000-01-01T000000_000","SUR","143",2013-02-16,"LBH"
"11","146.CCL.2013.2.25.14.20.(1).MOV-2","146.CCL.2013.2.25.14.20.(1).MOV-2_2000-01-01T000000_000","CCL","146",2013-02-25,"LBH"
"12","143.SUR.2013.2.7.07.10.(2)-C5","143.SUR.2013.2.7.07.10.(2)-C5.mov_2000-01-01T000000_000","SUR","143",2013-02-07,"LBH"
"13","143.SUR.2013.2.16.09.38.(2)-C2","143.SUR.2013.2.16.09.38.(2)-C2.mov_2000-01-01T000000_000","SUR","143",2013-02-16,"LBH"
"14","146.CCL.2013.2.26.14.32.(1)-C9","146.CCL.2013.2.26.14.32.(1)-C9_2000-01-01T000000_000","CCL","146",2013-02-26,"LBH"
"15","176.SUR.2013.3.18.07.17.(1)-C1","176.SUR.2013.3.18.07.17.(1)-C1.mov","SUR","176",2013-03-18,"LBH"
"16","176.SUR.2013.3.18.07.17.(1)-C2","176.SUR.2013.3.18.07.17.(1)-C2_2000-01-01T000000_000","SUR","176",2013-03-18,"LBH"
"17","176.SUR.2013.3.18.07.17.(1)-C5","176.SUR.2013.3.18.07.17.(1)-C5_2000-01-01T000000_000","SUR","176",2013-03-18,"LBH"
"18","176.SUR.2013.3.18.07.17.(1)-C7","176.SUR.2013.3.18.07.17.(1)-C7_2000-01-01T000000_000","SUR","176",2013-03-18,"LBH"
"19","176.SUR.2013.3.18.07.17.(1)-C10","176.SUR.2013.3.18.07.17.(1)-C10_2000-01-01T000000_000","SUR","176",2013-03-18,"LBH"
"20","176.SUR.2013.3.19.07.19.(2)-C1","176.SUR.2013.3.19.07.19.(2)-C1_2000-01-01T000000_000","SUR","176",2013-03-19,"LBH"
"21","176.SUR.2013.3.19.09.22.(1)-C1","176.SUR.2013.3.19.09.22.(1)-C1_2000-01-01T000000_000","SUR","176",2013-03-19,"LBH"
"22","176.SUR.2013.3.19.09.22.(1)-C2","176.SUR.2013.3.19.09.22.(1)-C2_2000-01-01T000000_000","SUR","176",2013-03-19,"LBH"
"23","176.SUR.2013.3.19.09.22.(1)-C3","176.SUR.2013.3.19.09.22.(1)-C3_2000-01-01T000000_000","SUR","176",2013-03-19,"LBH"
"24","176.SUR.2013.3.19.09.22.(1)-C7","176.SUR.2013.3.19.09.22.(1)-C7_2000-01-01T000000_000","SUR","176",2013-03-19,"LBH"
"25","176.SUR.2013.3.19.14.22.(3)-C2","176.SUR.2013.3.19.14.22.(3)-C2_2000-01-01T000000_000","SUR","176",2013-03-19,"LBH"
"26","176.SUR.2013.3.21.06.58.(1)-C6","176.SUR.2013.3.21.06.58.(1)-C6_2000-01-01T000000_000","SUR","176",2013-03-21,"LBH"
"27","176.SUR.2013.3.21.09.00.(2)-C3","176.SUR.2013.3.21.09.00.(2)-C3_2000-01-01T000000_000","SUR","176",2013-03-21,"LBH"
"28","176.SUR.2013.3.22.06.58.(1)-C1","176.SUR.2013.3.22.06.58.(1)-C1_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"29","176.SUR.2013.3.22.06.58.(1)-C2","176.SUR.2013.3.22.06.58.(1)-C2_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"30","176.SUR.2013.3.22.06.58.(1)-C3","176.SUR.2013.3.22.06.58.(1)-C3_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"31","176.SUR.2013.3.22.06.58.(1)-C5","176.SUR.2013.3.22.06.58.(1)-C5_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"32","176.SUR.2013.3.22.06.58.(1)-C6","176.SUR.2013.3.22.06.58.(1)-C6_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"33","176.SUR.2013.3.22.06.58.(1)-C8","176.SUR.2013.3.22.06.58.(1)-C8_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"34","176.SUR.2013.3.22.06.58.(1)-C9","176.SUR.2013.3.22.06.58.(1)-C9_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"35","176.SUR.2013.3.22.09.00.(2)-C2","176.SUR.2013.3.22.09.00.(2)-C2_2000-01-01T000000_000","SUR","176",2013-03-22,"LBH"
"36","176.SUR.2013.3.23.07.05.(1)-C3","176.SUR.2013.3.23.07.05.(1)-C3_2000-01-01T000000_000","SUR","176",2013-03-23,"LBH"
"37","176.SUR.2013.3.23.07.05.(1)-C7","176.SUR.2013.3.23.07.05.(1)-C7_2000-01-01T000000_000","SUR","176",2013-03-23,"LBH"
"38","176.SUR.2013.3.23.07.05.(1)-C12","176.SUR.2013.3.23.07.05.(1)-C12_2000-01-01T000000_000","SUR","176",2013-03-23,"LBH"
"39","176.SUR.2013.3.23.07.05.(1)-C18","176.SUR.2013.3.23.07.05.(1)-C18_2000-01-01T000000_000","SUR","176",2013-03-23,"LBH"
"40","176.SUR.2013.3.24.07.10.(1)-C1","176.SUR.2013.3.24.07.10.(1)-C1_2000-01-01T000000_000","SUR","176",2013-03-24,"LBH"
"41","176.SUR.2013.3.24.07.10.(1)-C2","176.SUR.2013.3.24.07.10.(1)-C2_2000-01-01T000000_000","SUR","176",2013-03-24,"LBH"
"42","176.SUR.2013.3.24.07.10.(1)-C3","176.SUR.2013.3.24.07.10.(1)-C3_2000-01-01T000000_000","SUR","176",2013-03-24,"LBH"
"43","176.SUR.2013.3.24.07.10.(1)-C6","176.SUR.2013.3.24.07.10.(1)-C6_2000-01-01T000000_000","SUR","176",2013-03-24,"LBH"
"44","176.SUR.2013.3.24.07.10.(1)-C7","176.SUR.2013.3.24.07.10.(1)-C7_2000-01-01T000000_000","SUR","176",2013-03-24,"LBH"
"45","176.SUR.2013.3.24.07.10.(1)-C8","176.SUR.2013.3.24.07.10.(1)-C8_2000-01-01T000000_000","SUR","176",2013-03-24,"LBH"
"46","176.SUR.2013.3.24.07.10.(1)-C12","176.SUR.2013.3.24.07.10.(1)-C12_2000-01-01T000000_000","SUR","176",2013-03-24,"LBH"
"47","177.SUR.2013.2.22.07.14.(2)-C5_2000-01-01T000000_000","177.SUR.2013.2.22.07.14.(2)-C5_2000-01-01T000000_000","SUR","177",2013-02-22,"LBH"
"48","184.CCL.2013.3.14.09.28.(2)-C1","184.CCL.2013.3.14.09.28.(2)-C1_2000-01-01T000000_000","CCL","184",2013-03-14,"LBH"
"49","185.CCL.2013.2.25.14.33.(3)-C2","185.CCL.2013.2.25.14.33.(3)-C2_2000-01-01T000000_000","CCL","185",2013-02-25,"LBH"
"50","187.CCL.2013.3.14.07.40.(2)-C1","187.CCL.2013.3.14.07.40.(2)-C1_2000-01-01T000000_000","CCL","187",2013-03-14,"LBH"
"51","187.CCL.2013.3.14.07.40.(2)-C6","187.CCL.2013.3.14.07.40.(2)-C6_2000-01-01T000000_000","CCL","187",2013-03-14,"LBH"
"52","vlc-record-2016-05-06-16h01m26s-TOR_DWD_20160408_1001.MP4-","entry0001_2016-06-10T103226_250","TOR","A58318",2016-04-08,"WWH"
"53","vlc-record-2016-05-06-16h02m23s-TOR_DWD_20160408_1001.MP4-","entry0002_2000-01-01T000000_000","TOR","A58318",2016-04-08,"WWH"
"54","vlc-record-2016-05-06-16h03m23s-TOR_DWD_20160408_1001.MP4-","entry0003_2000-01-01T000000_000","TOR","A58318",2016-04-08,"WWH"
"55","vlc-record-2016-05-06-16h04m24s-TOR_DWD_20160408_1001.MP4-","entry0004_2016-06-10T112051_746","TOR","A58318",2016-04-08,"WWH"
"56","vlc-record-2016-06-10-10h03m38s-TOR_DWD_20160415.MP4-","entry0005_2000-01-01T000000_000","TOR","A58318",2016-04-15,"WWH"
"57","vlc-record-2016-06-10-10h04m39s-TOR_DWD_20160415.MP4-","entry0006_2000-01-01T000000_000","TOR","A58318",2016-04-15,"WWH"
"58","vlc-record-2016-06-10-10h05m38s-TOR_DWD_20160415.MP4-","entry0007_2000-01-01T000000_000","TOR","A58318",2016-04-15,"WWH"
"59","vlc-record-2016-06-10-10h06m41s-TOR_DWD_20160415.MP4-","enrty0008_2000-01-01T000000_000","TOR","A58318",2016-04-15,"WWH"
"60","vlc-record-2016-06-10-10h07m45s-TOR_DWD_20160415.MP4-","entry0009_2000-01-01T000000_000","TOR","A58318",2016-04-15,"WWH"
"61","vlc-record-2016-06-10-14h03m06s-TOR_OBO_20160415 (1).MP4-","enrty0010_2000-01-01T000000_000","TOR","A58329",2016-04-15,"WWH"
"62","vlc-record-2016-06-10-14h04m18s-TOR_OBO_20160415 (1).MP4-","entry0011_2000-01-01T000000_000","TOR","A58329",2016-04-15,"WWH"
"63","vlc-record-2016-06-10-14h05m14s-TOR_OBO_20160415 (1).MP4-","entry0012_2000-01-01T000000_000","TOR","A58329",2016-04-15,"WWH"
"64","vlc-record-2016-06-10-14h06m10s-TOR_OBO_20160415 (1).MP4-","entry0013_2000-01-01T000000_000","TOR","A58329",2016-04-15,"WWH"
"65","TOR_UNMARKED1_20160415  (2)","entry0014_2000-01-01T000000_000","TOR","A00001",2016-04-15,"WWH"
"66","vlc-record-2016-06-10-19h28m09s-TOR_OBO_20160415 (2).MP4-","entry0015_2000-01-01T000000_000","TOR","A58329",2016-04-15,"WWH"
"67","vlc-record-2016-06-10-19h29m09s-TOR_OBO_20160415 (2).MP4-","entry0016_2000-01-01T000000_000","TOR","A58329",2016-04-15,"WWH"
"68","vlc-record-2016-06-10-19h31m01s-TOR_ODO_20160416 (1).MP4-","entry0017_2000-01-01T000000_000","TOR","A58398",2016-04-16,"WWH"
"69","vlc-record-2016-06-10-19h32m04s-TOR_ODO_20160416 (1).MP4-","entry0018_2000-01-01T000000_000","TOR","A58398",2016-04-16,"WWH"
"70","vlc-record-2016-06-10-19h33m07s-TOR_ODO_20160416 (1).MP4-","entry0019_2000-01-01T000000_000","TOR","A58398",2016-04-16,"WWH"
"71","vlc-record-2016-06-10-19h36m16s-TOR_ODO_20160416 (2).MP4-","entry0020_2000-01-01T000000_000","TOR","A58398",2016-04-16,"WWH"
"72","vlc-record-2016-06-10-19h40m49s-TOR_OOO_20160408_1015.MP4-","entry0021_2000-01-01T000000_000","TOR","A58317",2016-04-08,"WWH"
"73","vlc-record-2016-06-10-19h42m35s-TOR_OOO_20160408_1015.MP4-","entry0022_2000-01-01T000000_000","TOR","A58317",2016-04-08,"WWH"
"74","vlc-record-2016-06-10-19h44m56s-TOR_OOO_20160416.MP4-","entry0023_2000-01-01T000000_000","TOR","A58317",2016-04-16,"WWH"
"75","vlc-record-2016-06-10-19h46m03s-TOR_OOO_20160416.MP4-","entry0024_2000-01-01T000000_000","TOR","A58317",2016-04-16,"WWH"
"76","vlc-record-2016-06-10-19h50m56s-TOR_UNMARKED1_20160415 (4).MP4-","entry0025_2000-01-01T000000_000","TOR","A00001",2016-04-15,"WWH"
"77","vlc-record-2016-06-10-19h53m09s-TOR_UNMARKED1_20160415 (5).MP4-","entry0026_2000-01-01T000000_000","TOR","A00001",2016-04-15,"WWH"
"78","vlc-record-2016-06-10-20h11m29s-TOR_UNMARKED1_20160415 (7).MP4-","entry0027_2000-01-01T000000_000","TOR","A00001",2016-04-15,"WWH"
"79","vlc-record-2016-06-10-20h12m24s-TOR_UNMARKED1_20160415 (7).MP4-","entry0028_2000-01-01T000000_000","TOR","A00001",2016-04-15,"WWH"
"80","vlc-record-2016-06-10-20h13m18s-TOR_UNMARKED1_20160415 (7).MP4-","entry0029_2000-01-01T000000_000","TOR","A00001",2016-04-15,"WWH"
"81","vlc-record-2016-06-11-20h25m11s-TOR_UNMARKED1_20160415 (8).MP4-","entry0030_2000-01-01T000000_000","TOR","A00001",2016-04-15,"WWH"
"82","vlc-record-2016-06-11-20h27m17s-TOR_UNMARKEDF_20160416 (1).MP4-","entry0031_2000-01-01T000000_000","TOR","A00002",2016-04-16,"WWH"
"83","vlc-record-2016-06-11-20h28m44s-TOR_UNMARKEDF_20160416 (2).MP4-","entry0032_2000-01-01T000000_000","TOR","A00002",2016-04-16,"WWH"
"84","vlc-record-2016-06-11-20h30m51s-VER_OVY_20160415 (3).MP4-","entry0033_2000-01-01T000000_000","VER","A58332",2016-04-15,"WWH"
"85","vlc-record-2016-06-11-20h32m24s-VER_PBR_20160410_1115.MP4-","entry0034_2000-01-01T000000_000","VER","A58334",2016-04-10,"WWH"
"86","vlc-record-2016-06-11-20h33m25s-VER_PBR_20160410_1115.MP4-","entry0035_2000-01-01T000000_000","VER","A58334",2016-04-10,"WWH"
"87","vlc-record-2016-06-11-20h35m59s-VER_PBR_20160415 (2).MP4-","entry0036_2000-01-01T000000_000","VER","A58334",2016-04-15,"WWH"
"88","vlc-record-2016-06-11-20h37m04s-VER_PBR_20160415 (2).MP4-","entry0037_2000-01-01T000000_000","VER","A58334",2016-04-15,"WWH"
"89","vlc-record-2016-06-11-20h38m10s-VER_PBR_20160415 (2).MP4-","entry0038_2000-01-01T000000_000","VER","A58334",2016-04-15,"WWH"
"90","vlc-record-2016-06-11-20h41m31s-VER_RBR_20160415 (7).MP4-","entry0039_2000-01-01T000000_000","VER","A58394",2016-04-15,"WWH"
"91","vlc_processed\vlc-record-2016-06-11-20h43m57s-VER_RBR_20160415 (8).MP4-","entry0040_2000-01-01T000000_000","VER","A58394",2016-04-15,"WWH"
"92","vlc-record-2016-06-11-20h45m23s-VER_RBR_20160415 (8).MP4-","entry0041_2000-01-01T000000_000","VER","A58394",2016-04-15,"WWH"
"93","vlc-record-2016-06-11-20h47m43s-VER_RBR_20160415 (9).MP4-","entry0042_2000-01-01T000000_000","VER","A58394",2016-04-15,"WWH"
"94","vlc-record-2016-06-11-20h49m17s-VER_RBR_20160415 (10).MP4-","entry0043_2000-01-01T000000_000","VER","A58394",2016-04-15,"WWH"
"95","vlc-record-2016-06-11-20h52m58s-VER_UNMARKED1_20160410_1100.MP4-","entry0044_2000-01-01T000000_000","VER","A00003",2016-04-10,"WWH"
"96","vlc-record-2016-06-11-20h54m12s-VER_UNMARKED1_20160410_1100.MP4-","entry0045_2000-01-01T000000_000","VER","A00003",2016-04-10,"WWH"
"97","vlc-record-2016-06-11-20h55m22s-VER_UNMARKED1_20160410_1100.MP4-","entry0046_2000-01-01T000000_000","VER","A00003",2016-04-10,"WWH"
"98","vlc-record-2016-06-11-20h56m45s-VER_RBR_20160412.MP4-","entry0047_2000-01-01T000000_000","VER","A58394",2016-04-12,"WWH"
"99","vlc-record-2016-06-11-20h57m41s-VER_RBR_20160412.MP4-","entry0048_2000-01-01T000000_000","VER","A58394",2016-04-12,"WWH"
"100","vlc-record-2016-06-11-21h03m24s-VER_UNMARKED2_20160412.MP4-","entry0049_2000-01-01T000000_000","VER","A00004",2016-04-12,"WWH"
"101","vlc-record-2016-06-11-21h05m56s-YES_UNMARKED1_20160413 (1).MP4-","entry0050_2000-01-01T000000_000","VER","A00003",2016-04-13,"WWH"
"102","vlc-record-2016-06-11-21h08m57s-YES_UNMARKED2_20160413.MP4-","entry0051_2000-01-01T000000_000","VER","A00004",2016-04-13,"WWH"
"103","NM2_Torronja_30082016_9000_2000-01-01T000000_000.csv","NM2_Torronja_30082016_9000_2000-01-01T000000_000.csv","TOR","A00005",2016-08-30,"WWH"
"104","NM3_09092016_0744 (2)_2000-01-01T000000_000.csv","NM3_09092016_0744 (2)_2000-01-01T000000_000.csv","TOR","A00006",2016-09-09,"WWH"
"105","NM3_Toronja_07092016 (2)_2000-01-01T000000_000.csv","NM3_Toronja_07092016 (2)_2000-01-01T000000_000.csv","TOR","A00006",2016-09-07,"WWH"
"106","OR_08092016_1658 (1)_2000-01-01T000000_000.csv","OR_08092016_1658 (1)_2000-01-01T000000_000.csv","TOR","A58359",2016-09-08,"WWH"
"107","OR_10092016_0858_2000-01-01T000000_000.csv","OR_10092016_0858_2000-01-01T000000_000.csv","TOR","A58359",2016-09-10,"WWH"
"108","OR_10092016_0859_2000-01-01T000000_000.csv","OR_10092016_0859_2000-01-01T000000_000.csv","TOR","A58359",2016-09-10,"WWH"
"109","OR_10092016_0903_2000-01-01T000000_000.csv","OR_10092016_0903_2000-01-01T000000_000.csv","TOR","A58359",2016-09-10,"WWH"
"110","OR_10092016_0906_2000-01-01T000000_000.csv","OR_10092016_0906_2000-01-01T000000_000.csv","TOR","A58359",2016-09-10,"WWH"
"111","PBP_Toronja_06092016_pm_2000-01-01T000000_000.csv","PBP_Toronja_06092016_pm_2000-01-01T000000_000.csv","TOR","A58477",2016-09-06,"WWH"
"112","VYW_10092016_0940_2000-01-01T000000_000.csv","VYW_10092016_0940_2000-01-01T000000_000.csv","TOR","A58286",2016-09-10,"WWH"
"113","WGW_08092016_0717 (1)_2000-01-01T000000_000.csv","WGW_08092016_0717 (1)_2000-01-01T000000_000.csv","TOR","A58294",2016-09-08,"WWH"
"114","WGW_08092016_0717 (2)_2000-01-01T000000_000.csv","WGW_08092016_0717 (2)_2000-01-01T000000_000.csv","TOR","A58294",2016-09-08,"WWH"
"115","WGW_08092016_0717 (3)_2000-01-01T000000_000.csv","WGW_08092016_0717 (3)_2000-01-01T000000_000.csv","TOR","A58294",2016-09-08,"WWH"
"116","WGW_08092016_0717 (4)_2000-01-01T000000_000.csv","WGW_08092016_0717 (4)_2000-01-01T000000_000.csv","TOR","A58294",2016-09-08,"WWH"
"117","WGW_09092016_0739 (1)_2000-01-01T000000_000.csv","WGW_09092016_0739 (1)_2000-01-01T000000_000.csv","TOR","A58294",2016-09-09,"WWH"
"118","WOW_10092016_0909_2000-01-01T000000_000.csv","WOW_10092016_0909_2000-01-01T000000_000.csv","TOR","A58299",2016-09-10,"WWH"
"119","WRP_08092016_1616 (1)_2000-01-01T000000_000.csv","WRP_08092016_1616 (1)_2000-01-01T000000_000.csv","TOR","A58308",2016-09-08,"WWH"
"120","WRP_08092016_1616 (3)_2000-01-01T000000_000.csv","WRP_08092016_1616 (3)_2000-01-01T000000_000.csv","TOR","A58308",2016-09-08,"WWH"
"121","WVW_Toronja_06092016_pm (1)_2000-01-01T000000_000.csv","WVW_Toronja_06092016_pm (1)_2000-01-01T000000_000.csv","TOR","A58302",2016-09-06,"WWH"
"122","WVW_Torronja_29082016_1604_2000-01-01T000000_000.csv","WVW_Torronja_29082016_1604_2000-01-01T000000_000.csv","TOR","A58302",2016-08-29,"WWH"
"123","YRY_09092016_0822_2000-01-01T000000_000.csv","YRY_09092016_0822_2000-01-01T000000_000.csv","TOR","A58292",2016-09-10,"WWH"
"124","YRY_10092016_0928_2000-01-01T000000_000.csv","YRY_10092016_0928_2000-01-01T000000_000.csv","TOR","A58292",2016-09-10,"WWH"
